Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
203;215;223;Peeping Tom;Powell, Michael;1960;UK;109;Thriller-Drama;BW;Amazon;IMDB;Goog
204;210;193;Eclisse, L';Antonioni, Michelangelo;1962;France-Italy;123;Drama;BW;Amazon;IMDB;Goog
205;198;203;Schindler's List;Spielberg, Steven;1993;US;195;War-Historical-Drama;Col-BW;Amazon;IMDB;Goog
206;196;209;Shop Around the Corner, The;Lubitsch, Ernst;1940;US;97;Romance-Comedy;BW;Amazon;IMDB;Goog
207;195;195;Late Spring;Ozu, Yasujiro;1949;Japan;108;Romance-Drama-Family;BW;Amazon;IMDB;Goog
208;220;234;Texas Chainsaw Massacre, The [1974];Hooper, Tobe;1974;US;83;Thriller-Horror;Col;Amazon;IMDB;Goog
209;208;218;Rosemary's Baby;Polanski, Roman;1968;US;136;Thriller-Horror-Drama;Col;Amazon;IMDB;Goog
210;209;221;Johnny Guitar;Ray, Nicholas;1954;US;110;Western;Col;Amazon;IMDB;Goog
211;216;201;Sans soleil;Marker, Chris;1983;France;100;Avant-Garde-Documentary;Col;Amazon;IMDB;Goog
212;199;197;River, The [1951];Renoir, Jean;1951;US-India;99;Romance-Drama;Col;Amazon;IMDB;Goog
213;224;243;Snow White and the Seven Dwarfs;Hand, David;1937;US;83;Animated-Family-Fantasy;Col;Amazon;IMDB;Goog
214;212;200;Ali: Fear Eats the Soul;Fassbinder, Rainer Werner;1974;Germany;94;Romance-Drama;Col;Amazon;IMDB;Goog
215;217;202;Crowd, The;Vidor, King;1928;US;104;Drama;BW;Amazon;IMDB;Goog
216;204;189;Music Room, The;Ray, Satyajit;1958;India;95;Drama;BW;Amazon;IMDB;Goog
217;214;208;Umbrellas of Cherbourg, The;Demy, Jacques;1964;France-Germany;91;Romance-Musical-Drama;Col;Amazon;IMDB;Goog
218;205;190;Celine and Julie Go Boating;Rivette, Jacques;1974;France;192;Fantasy-Drama-Avant-Garde;Col;Amazon;IMDB;Goog
219;206;196;Throne of Blood;Kurosawa, Akira;1957;Japan;108;War-Drama;BW;Amazon;IMDB;Goog
220;218;219;Close-Up;Kiarostami, Abbas;1989;Iran;93;Documentary-Drama-Crime;Col;Amazon;IMDB;Goog
221;213;199;Pandora's Box;Pabst, G.W.;1928;Germany;110;Drama-Crime-Romance;BW;Amazon;IMDB;Goog
222;221;226;Only Angels Have Wings;Hawks, Howard;1939;US;121;Drama-Adventure-Romance;BW;Amazon;IMDB;Goog
223;234;244;Crimes and Misdemeanors;Allen, Woody;1989;US;104;Drama-Comedy;Col;Amazon;IMDB;Goog
224;230;227;Solaris [1972];Tarkovsky, Andrei;1972;USSR;165;Science Fiction-Drama-Mystery;Col-BW;Amazon;IMDB;Goog
225;223;229;Samouraï, Le;Melville, Jean-Pierre;1967;France;95;Thriller-Crime;Col;Amazon;IMDB;Goog
226;226;204;Spirit of the Beehive, The;Erice, Victor;1973;Spain;95;Drama;Col;Amazon;IMDB;Goog
227;219;241;Shoot the Piano Player;Truffaut, François;1960;France;92;Drama-Crime-Thriller;BW;Amazon;IMDB;Goog
228;227;211;Tabu;Murnau, F.W.;1931;US;82;Romance-Drama-Adventure;BW;Amazon;IMDB;Goog
229;222;212;Written on the Wind;Sirk, Douglas;1956;US;99;Drama;Col;Amazon;IMDB;Goog
230;228;210;Argent, L' [1983];Bresson, Robert;1983;France-Switzerland;90;Drama-Crime;Col;Amazon;IMDB;Goog
231;229;232;Mr. Hulot's Holiday;Tati, Jacques;1953;France;86;Comedy;BW;Amazon;IMDB;Goog
232;239;239;Nanook of the North;Flaherty, Robert;1922;US;79;Documentary;BW;Amazon;IMDB;Goog
233;231;238;Cinema Paradiso;Tornatore, Giuseppe;1988;Italy-France;123;Drama-Comedy;Col;Amazon;IMDB;Goog
234;238;224;Notte, La;Antonioni, Michelangelo;1961;Italy-France;120;Drama;BW;Amazon;IMDB;Goog
235;270;283;Last Picture Show, The;Bogdanovich, Peter;1971;US;118;Drama;BW;Amazon;IMDB;Goog
236;232;222;Alexander Nevsky;Eisenstein, Sergei;1938;USSR;107;War-Historical-Biography;BW;Amazon;IMDB;Goog
237;241;274;Empire Strikes Back, The;Kershner, Irvin;1980;US;124;Science Fiction-Fantasy-Adventure;Col;Amazon;IMDB;Goog
238;233;225;Imitation of Life [1959];Sirk, Douglas;1959;US;124;Drama-Romance;Col;Amazon;IMDB;Goog
239;242;231;Meet Me in St. Louis;Minnelli, Vincente;1944;US;113;Musical-Family-Drama;Col;Amazon;IMDB;Goog
240;235;240;Orpheus;Cocteau, Jean;1950;France;95;Romance-Fantasy-Drama;BW;Amazon;IMDB;Goog
241;237;235;To Kill a Mockingbird;Mulligan, Robert;1962;US;129;Drama;BW;Amazon;IMDB;Goog
242;236;230;Birds, The;Hitchcock, Alfred;1963;US;120;Horror;Col;Amazon;IMDB;Goog
243;248;245;Sátántangó;Tarr, Béla;1994;Hungary-Germany-Switzerland;450;Drama;BW;Amazon;IMDB;Goog
244;249;264;Fantasia;Sharpsteen, Ben;1940;US;120;Fantasy-Family-Animated;Col;Amazon;IMDB;Goog
245;240;228;Berlin Alexanderplatz;Fassbinder, Rainer Werner;1980;Germany;931;Drama-Historical-Political;Col;Amazon;IMDB;Goog
246;245;233;Star is Born, A [1954];Cukor, George;1954;US;154;Musical-Drama;Col;Amazon;IMDB;Goog
247;246;242;Diary of a Country Priest;Bresson, Robert;1950;France;120;Religious-Drama;BW;Amazon;IMDB;Goog
248;244;248;Passenger, The;Antonioni, Michelangelo;1975;Italy;119;Drama;Col;Amazon;IMDB;Goog
249;247;236;Week-End;Godard, Jean-Luc;1967;France-Italy;103;Drama;Col;Amazon;IMDB;Goog
250;254;250;Last Tango in Paris;Bertolucci, Bernardo;1973;France-Italy;129;Romance-Drama-Adult;Col;Amazon;IMDB;Goog
251;243;251;Germany, Year Zero;Rossellini, Roberto;1947;Italy-West Germany;74;War-Drama;BW;Amazon;IMDB;Goog
252;251;249;Senso;Visconti, Luchino;1954;Italy;115;War-Drama-Romance;Col;Amazon;IMDB;Goog
253;252;247;Zero for Conduct;Vigo, Jean;1933;France;41;Short-Drama;BW;Amazon;IMDB;Goog
254;259;257;Wings of Desire;Wenders, Wim;1987;France-West Germany;130;Fantasy-Drama;Col-BW;Amazon;IMDB;Goog
255;253;237;Night at the Opera, A;Wood, Sam;1935;US;92;Romance-Musical-Comedy;BW;Amazon;IMDB;Goog
256;250;252;Two or Three Things I Know About Her;Godard, Jean-Luc;1966;France;95;Drama;Col;Amazon;IMDB;Goog
257;275;289;Midnight Cowboy;Schlesinger, John;1969;US;113;Drama;Col;Amazon;IMDB;Goog
258;256;253;Salo, or the 120 Days of Sodom;Pasolini, Pier Paolo;1975;Italy;117;Horror-Drama-Political;Col;Amazon;IMDB;Goog
259;267;268;Fargo;Coen, Joel and Ethan Coen;1995;US;97;Thriller-Crime-Comedy;Col;Amazon;IMDB;Goog
260;264;259;Terminator, The;Cameron, James;1984;US;108;Science Fiction-Action;Col;Amazon;IMDB;Goog
261;262;269;In the Realm of the Senses;Oshima, Nagisa;1976;France-Japan;108;Drama-Adult-Romance;Col;Amazon;IMDB;Goog
262;271;276;Dawn of the Dead [1978];Romero, George A.;1978;US;126;Horror-Action;Col;Amazon;IMDB;Goog
263;260;258;Life of Oharu, The;Mizoguchi, Kenji;1952;Japan;146;Drama;BW;Amazon;IMDB;Goog
264;273;281;Cabaret;Fosse, Bob;1972;US;128;Musical-Drama-Dance;Col;Amazon;IMDB;Goog
265;255;254;Story of the Late Chrysanthemums, The;Mizoguchi, Kenji;1939;Japan;143;Romance-Drama;BW;Amazon;IMDB;Goog
266;266;266;Shane;Stevens, George;1953;US;118;Western-Drama;Col;Amazon;IMDB;Goog
267;257;277;Crime of Monsieur Lange, The;Renoir, Jean;1936;France;90;Drama-Crime-Comedy;BW;Amazon;IMDB;Goog
268;261;261;Blue Angel, The;von Sternberg, Josef;1930;Germany;103;Drama;BW;Amazon;IMDB;Goog
269;258;260;To Have and Have Not;Hawks, Howard;1944;US;100;Romance-Drama;BW;Amazon;IMDB;Goog
270;265;256;Ninotchka;Lubitsch, Ernst;1939;US;110;Romance-Comedy;BW;Amazon;IMDB;Goog
271;263;267;Day of Wrath;Dreyer, Carl;1943;Denmark;110;Drama;BW;Amazon;IMDB;Goog
272;282;279;Big Sleep, The;Hawks, Howard;1946;US;114;Mystery-Crime;BW;Amazon;IMDB;Goog
273;279;336;Yojimbo;Kurosawa, Akira;1961;Japan;110;Drama-Action;BW;Amazon;IMDB;Goog
274;276;275;West Side Story;Wise, Robert/Jerome Robbins;1961;US;151;Romance-Musical-Dance;Col;Amazon;IMDB;Goog
275;354;415;Harold and Maude;Ashby, Hal;1971;US;90;Comedy;Col;Amazon;IMDB;Goog
276;293;374;Mulholland Dr.;Lynch, David;2001;France-US;146;Mystery-Drama;Col;Amazon;IMDB;Goog
277;288;306;Asphalt Jungle, The;Huston, John;1950;US;112;Thriller-Crime;BW;Amazon;IMDB;Goog
278;268;262;Tree of Wooden Clogs, The;Olmi, Ermanno;1978;Italy;185;Drama;Col;Amazon;IMDB;Goog
279;269;263;Day for Night;Truffaut, François;1973;France;120;Drama-Comedy;Col;Amazon;IMDB;Goog
280;340;343;Easy Rider;Hopper, Dennis;1969;US;94;Drama;Col;Amazon;IMDB;Goog
281;286;284;Night and Fog;Resnais, Alain;1955;France;32;War-Documentary-Short;Col-BW;Amazon;IMDB;Goog
282;377;427;Dog Day Afternoon;Lumet, Sidney;1975;US;130;Drama-Crime;Col;Amazon;IMDB;Goog
283;277;270;1900;Bertolucci, Bernardo;1976;France-Germany-Italy;311;Political-Drama;Col;Amazon;IMDB;Goog
284;272;271;Floating Clouds;Naruse, Mikio;1955;Japan;123;Romance-Drama;BW;Amazon;IMDB;Goog
285;291;367;Halloween;Carpenter, John;1978;US;93;Horror-Thriller;Col;Amazon;IMDB;Goog
286;278;273;Lola Montès;Ophüls, Max;1955;France;110;Drama-Biography;Col;Amazon;IMDB;Goog
287;280;286;Make Way for Tomorrow;McCarey, Leo;1937;US;92;Drama;BW;Amazon;IMDB;Goog
288;281;297;Kid, The;Chaplin, Charles;1921;US;60;Drama-Comedy-Family;BW;Amazon;IMDB;Goog
289;285;272;Mouchette;Bresson, Robert;1966;France;80;Drama;BW;Amazon;IMDB;Goog
290;298;309;Shadows;Cassavetes, John;1959;US;87;Drama;BW;Amazon;IMDB;Goog
291;290;293;Strangers on a Train;Hitchcock, Alfred;1951;US;101;Thriller-Drama-Crime;BW;Amazon;IMDB;Goog
292;348;324;Network;Lumet, Sidney;1976;US;121;Drama;Col;Amazon;IMDB;Goog
293;300;312;Come and See;Klimov, Elem;1985;Russia;142;War-Drama;Col;Amazon;IMDB;Goog
294;308;342;Black God, White Devil;Rocha, Glauber;1964;Brazil;110;Political-Drama-Crime;BW;Amazon;IMDB;Goog
295;284;310;Red Desert;Antonioni, Michelangelo;1964;France-Italy;118;Drama;Col;Amazon;IMDB;Goog
296;283;282;My Night at Maud's;Rohmer, Eric;1969;France;105;Romance-Drama;BW;Amazon;IMDB;Goog
297;294;330;King of Comedy, The;Scorsese, Martin;1983;US;109;Drama-Comedy;Col;Amazon;IMDB;Goog
298;292;301;In a Lonely Place;Ray, Nicholas;1950;US;91;Drama-Mystery-Romance;BW;Amazon;IMDB;Goog
299;295;299;Scarlet Empress, The;von Sternberg, Josef;1934;US;110;Historical-Drama-Biography;BW;Amazon;IMDB;Goog
300;297;285;Million, Le;Clair, René;1931;France;85;Comedy-Musical;BW;Amazon;IMDB;Goog
301;287;278;All That Heaven Allows;Sirk, Douglas;1955;US;89;Romance-Drama;Col;Amazon;IMDB;Goog
302;321;446;Yi yi;Yang, Edward;2000;Taiwan-Japan;173;Drama;Col;Amazon;IMDB;Goog
303;289;313;Paris, Texas;Wenders, Wim;1984;US;150;Drama;Col;Amazon;IMDB;Goog
304;310;288;Laura;Preminger, Otto;1944;US;85;Mystery-Romance-Thriller;BW;Amazon;IMDB;Goog
305;311;255;High Noon;Zinnemann, Fred;1952;US;84;Western;BW;Amazon;IMDB;Goog
306;302;298;Kiss Me Deadly;Aldrich, Robert;1955;US;105;Crime-Thriller;BW;Amazon;IMDB;Goog
307;322;344;Five Easy Pieces;Rafelson, Bob;1970;US;98;Drama;Col;Amazon;IMDB;Goog
308;336;328;39 Steps, The;Hitchcock, Alfred;1935;UK;87;Spy-Thriller;BW;Amazon;IMDB;Goog
309;306;335;Thief of Bagdad, The [1940];Powell, Michael/Ludwig Berger/Tim Whelan;1940;UK;106;Fantasy-Family-Adventure;Col;Amazon;IMDB;Goog
310;299;291;Wind, The;Sjöström, Victor;1928;US;88;Drama;BW;Amazon;IMDB;Goog
311;319;316;Top Hat;Sandrich, Mark;1935;US;99;Romance-Musical-Comedy;BW;Amazon;IMDB;Goog
312;305;353;Cameraman, The;Keaton, Buster/Edward Sedgwick;1928;US;69;Romance-Comedy;BW;Amazon;IMDB;Goog
313;304;303;Aliens;Cameron, James;1986;US;137;Science Fiction-Horror-Action;Col;Amazon;IMDB;Goog
314;296;296;African Queen, The;Huston, John;1951;US;105;Romance-Adventure;Col;Amazon;IMDB;Goog
315;331;325;Triumph of the Will;Riefenstahl, Leni;1935;Germany;110;Documentary-Historical-Political;BW;Amazon;IMDB;Goog
316;330;394;Doctor Zhivago;Lean, David;1965;US;197;War-Romance-Drama;Col;Amazon;IMDB;Goog
317;307;294;Kings of the Road;Wenders, Wim;1976;Germany;176;Drama;BW;Amazon;IMDB;Goog
318;309;287;Salvatore Giuliano;Rosi, Francesco;1961;Italy;125;Historical-Drama-Crime;BW;Amazon;IMDB;Goog
319;303;295;Aparajito;Ray, Satyajit;1956;India;108;Drama;BW;Amazon;IMDB;Goog
320;318;300;Rebel Without a Cause;Ray, Nicholas;1955;US;111;Drama;Col;Amazon;IMDB;Goog
321;301;280;Miracle in Milan;De Sica, Vittorio;1951;Italy;95;Fantasy-Drama-Comedy;BW;Amazon;IMDB;Goog
322;274;265;Piano, The;Campion, Jane;1993;Australia;121;Historical-Drama-Romance;Col;Amazon;IMDB;Goog
323;326;320;Chungking Express;Wong Kar-wai;1994;Hong Kong;104;Romance-Drama;Col;Amazon;IMDB;Goog
324;317;305;Strike;Eisenstein, Sergei;1924;USSR;73;Historical-Drama-Political;BW;Amazon;IMDB;Goog
325;529;496;All the President's Men;Pakula, Alan J.;1976;US;138;Political-Drama;Col;Amazon;IMDB;Goog
326;314;315;White Heat;Walsh, Raoul;1949;US;114;Crime;BW;Amazon;IMDB;Goog
327;312;290;Meshes of the Afternoon;Deren, Maya;1943;US;15;Short-Avant-Garde-Fantasy;BW;Amazon;IMDB;Goog
328;313;354;Heat [1995];Mann, Michael;1995;US;174;Thriller-Drama-Crime;Col;Amazon;IMDB;Goog
329;315;292;Autumn Afternoon, An;Ozu, Yasujiro;1962;Japan;115;Drama;Col;Amazon;IMDB;Goog
330;316;308;Carrie [1976];De Palma, Brian;1976;US;97;Horror-Thriller;Col;Amazon;IMDB;Goog
331;320;302;Time to Live and the Time to Die, The;Hou Hsiao-hsien;1985;Taiwan;137;Drama;Col;Amazon;IMDB;Goog
332;337;326;Killer of Sheep;Burnett, Charles;1977;US;83;Drama;Col;Amazon;IMDB;Goog
333;350;372;Reservoir Dogs;Tarantino, Quentin;1991;US;99;Drama-Crime-Thriller;Col;Amazon;IMDB;Goog
334;324;311;Hustler, The;Rossen, Robert;1961;US;135;Drama-Sports;BW;Amazon;IMDB;Goog
335;351;363;Great Expectations [1946];Lean, David;1946;UK;118;Romance-Drama;BW;Amazon;IMDB;Goog
336;338;317;Wavelength;Snow, Michael;1967;Canada;45;Avant-Garde;Col;Amazon;IMDB;Goog
337;381;366;Canterbury Tale, A;Powell, Michael/Emeric Pressburger;1944;UK;124;Drama;BW;Amazon;IMDB;Goog
338;390;404;Big Lebowski, The;Coen, Joel and Ethan Coen;1998;US-UK;113;Comedy-Crime;Col;Amazon;IMDB;Goog
339;356;378;Point Blank;Boorman, John;1967;US;92;Thriller-Crime-Action;Col;Amazon;IMDB;Goog
340;357;421;This is Spinal Tap;Reiner, Rob;1984;US;82;Comedy;Col;Amazon;IMDB;Goog
341;325;327;High and Low;Kurosawa, Akira;1963;Japan;142;Thriller-Crime-Drama;BW;Amazon;IMDB;Goog
342;329;318;Eraserhead;Lynch, David;1976;US;90;Horror;BW;Amazon;IMDB;Goog
343;332;340;F for Fake;Welles, Orson;1973;France-Iran-West Germany;85;Documentary-Avant-Garde;Col;Amazon;IMDB;Goog
344;323;304;Verdugo, El;Berlanga, Luis García;1963;Spain-Italy;90;Drama-Comedy;BW;Amazon;IMDB;Goog
345;334;314;Rebecca;Hitchcock, Alfred;1940;US;130;Mystery-Romance-Drama;BW;Amazon;IMDB;Goog
346;355;345;Man of Aran;Flaherty, Robert;1934;UK;77;Documentary;BW;Amazon;IMDB;Goog
347;366;347;Mad Max 2;Miller, George;1981;Australia;94;Science Fiction-Action;Col;Amazon;IMDB;Goog
348;333;333;El;Buñuel, Luis;1952;Mexico;91;Drama;BW;Amazon;IMDB;Goog
349;378;435;Monty Python's Life of Brian;Jones, Terry;1979;UK;93;Religious-Comedy;Col;Amazon;IMDB;Goog
350;328;307;How Green Was My Valley;Ford, John;1941;US;118;Drama;BW;Amazon;IMDB;Goog
351;339;319;Charulata;Ray, Satyajit;1964;India;124;Romance-Drama;BW;Amazon;IMDB;Goog
352;349;329;City of Sadness, A;Hou Hsiao-hsien;1989;Taiwan;158;Political-Drama;Col;Amazon;IMDB;Goog
353;341;416;Cloud-Capped Star, The;Ghatak, Ritwik;1960;India;126;Drama-Musical;BW;Amazon;IMDB;Goog
354;368;365;Groundhog Day;Ramis, Harold;1993;US;103;Romance-Fantasy-Comedy;Col;Amazon;IMDB;Goog
355;342;337;Shadow of a Doubt;Hitchcock, Alfred;1943;US;108;Thriller;BW;Amazon;IMDB;Goog
356;335;321;All Quiet on the Western Front;Milestone, Lewis;1930;US;105;War-Drama;BW;Amazon;IMDB;Goog
357;384;375;Silence of the Lambs, The;Demme, Jonathan;1991;US;118;Thriller-Mystery;Col;Amazon;IMDB;Goog
358;352;348;Eyes Without a Face;Franju, Georges;1959;France-Italy;88;Horror-Drama-Thriller;BW;Amazon;IMDB;Goog
359;343;323;Amadeus;Forman, Milos;1984;US;158;Musical-Biography-Drama;Col;Amazon;IMDB;Goog
360;353;358;Memories of Underdevelopment;Alea, Tomás Gutiérrez;1968;Cuba;97;Political-Romance-Drama;BW;Amazon;IMDB;Goog
361;345;332;October;Eisenstein, Sergei;1927;USSR;103;Historical-Drama;BW;Amazon;IMDB;Goog
362;508;507;Distant Voices, Still Lives;Davies, Terence;1988;UK;85;Drama;Col;Amazon;IMDB;Goog
363;346;412;Sacrifice, The;Tarkovsky, Andrei;1986;France-Sweden;145;Drama;Col;Amazon;IMDB;Goog
364;373;410;Invasion of the Body Snatchers [1956];Siegel, Don;1956;US;80;Science Fiction-Horror;BW;Amazon;IMDB;Goog
365;347;322;Awful Truth, The;McCarey, Leo;1937;US;92;Romance-Comedy;BW;Amazon;IMDB;Goog
366;327;382;Breaking the Waves;von Trier, Lars;1996;Denmark-Sweden-France-Netherlands-Norway;156;Romance-Drama;Col;Amazon;IMDB;Goog
367;358;356;Closely Watched Trains;Menzel, Jirí;1966;Czechoslovakia;89;Drama-Comedy;BW;Amazon;IMDB;Goog
368;361;423;Cat People [1942];Tourneur, Jacques;1942;US;73;Thriller-Horror-Mystery;BW;Amazon;IMDB;Goog
369;359;331;Ben-Hur [1959];Wyler, William;1959;US;212;Religious-Historical;Col;Amazon;IMDB;Goog
370;367;364;Manchurian Candidate, The [1962];Frankenheimer, John;1962;US;126;Political-Thriller-Drama;BW;Amazon;IMDB;Goog
371;362;403;Big Heat, The;Lang, Fritz;1953;US;90;Drama-Crime;BW;Amazon;IMDB;Goog
372;364;361;Back to the Future;Zemeckis, Robert;1985;US;116;Science Fiction-Comedy;Col;Amazon;IMDB;Goog
373;376;357;Deliverance;Boorman, John;1972;US;109;Adventure-Thriller-Drama;Col;Amazon;IMDB;Goog
374;360;362;Vitelloni, I;Fellini, Federico;1953;Italy;104;Drama;BW;Amazon;IMDB;Goog
375;369;379;Dead, The [1987];Huston, John;1987;US;83;Drama;Col;Amazon;IMDB;Goog
376;371;401;Frankenstein;Whale, James;1931;US;70;Horror-Science Fiction;BW;Amazon;IMDB;Goog
377;363;341;Accattone;Pasolini, Pier Paolo;1961;Italy;120;Drama;BW;Amazon;IMDB;Goog
378;478;451;Kes;Loach, Ken;1969;UK;113;Drama;Col;Amazon;IMDB;Goog
379;388;387;Butch Cassidy and the Sundance Kid;Hill, George Roy;1969;US;112;Western;Col;Amazon;IMDB;Goog
380;382;351;Casque d'or;Becker, Jacques;1952;France;96;Romance-Drama-Crime;BW;Amazon;IMDB;Goog
381;370;462;Foolish Wives;von Stroheim, Erich;1922;US;117;Drama;BW;Amazon;IMDB;Goog
382;394;388;Streetcar Named Desire, A;Kazan, Elia;1951;US;122;Drama;BW;Amazon;IMDB;Goog
383;372;350;Wedding March, The;von Stroheim, Erich;1928;US;113;Romance-Drama;BW;Amazon;IMDB;Goog
384;375;355;Navigator, The;Keaton, Buster/Donald Crisp;1924;US;69;Comedy-Adventure;BW;Amazon;IMDB;Goog
385;374;346;Marnie;Hitchcock, Alfred;1964;US;129;Romance-Thriller-Mystery;Col;Amazon;IMDB;Goog
386;402;442;Evil Dead II;Raimi, Sam;1987;US;85;Horror;Col;Amazon;IMDB;Goog
387;344;359;Killing of a Chinese Bookie, The;Cassavetes, John;1976;US;109;Drama-Crime;Col;Amazon;IMDB;Goog
388;416;385;Claire's Knee;Rohmer, Eric;1971;France;103;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
389;411;390;Servant, The;Losey, Joseph;1963;UK;115;Drama;BW;Amazon;IMDB;Goog
390;379;349;Spartacus;Kubrick, Stanley;1960;US;184;Adventure-Historical-Drama;Col;Amazon;IMDB;Goog
391;422;398;Forbidden Games;Clément, René;1951;France;87;War-Drama;BW;Amazon;IMDB;Goog
392;398;555;Killing, The;Kubrick, Stanley;1956;US;83;Crime;BW;Amazon;IMDB;Goog
393;409;376;Don't Look Back;Pennebaker, D.A.;1967;US;96;Documentary-Musical;BW;Amazon;IMDB;Goog
394;380;391;Tristana;Buñuel, Luis;1970;France-Spain;98;Drama;Col;Amazon;IMDB;Goog
395;383;352;Mon oncle;Tati, Jacques;1958;France;126;Comedy;Col;Amazon;IMDB;Goog
396;385;377;Love Streams;Cassavetes, John;1984;US;141;Drama;Col;Amazon;IMDB;Goog
397;441;381;Lady Vanishes, The;Hitchcock, Alfred;1938;UK;97;Spy-Mystery-Thriller;BW;Amazon;IMDB;Goog
398;415;419;My Neighbour Totoro;Miyazaki, Hayao;1988;Japan;86;Fantasy-Family-Animated;Col;Amazon;IMDB;Goog
399;391;369;Stranger Than Paradise;Jarmusch, Jim;1984;US;90;Comedy;BW;Amazon;IMDB;Goog
400;408;380;Listen to Britain;Jennings, Humphrey;1942;UK;20;Documentary-Short-War;BW;Amazon;IMDB;Goog
